single	point		
hani_5011	1	1	0
hani_5012	1	1	0
hani_5013	1	1	0
hani_5014	1	1	0
hani_5015	1	1	0
vani_5021	0.5	1	0
vani_5022	0.5	1	0
vani_5023	0.1	1	0
vani_5024	0.1	1	0
vani_5025	0.1	1	0
riv_15	10.10000036	1	0
riv_16	10.10000034	1	0
riv_17	10.10000036	1	0
riv_18	10.10000039	1	0
riv_19	10.10000041	1	0
riv_20	10.10000039	1	0
riv_21	10.1000004	1	0
riv_22	10.10000035	1	0
riv_23	10.10000032	1	0
riv_24	10.10000032	1	0
riv_25	10.10000033	1	0
riv_26	10.10000037	1	0
riv_27	10.10000039	1	0
riv_28	10.10000036	1	0
riv_29	10.10000036	1	0
riv_30	10.10000037	1	0
riv_31	10.10000036	1	0
riv_32	10.10000033	1	0
riv_33	10.10000039	1	0
riv_34	10.10000039	1	0
riv_35	10.10000039	1	0
riv_36	10.10000036	1	0
riv_37	10.10000037	1	0
riv_38	10.10000042	1	0
riv_39	10.10000037	1	0
riv_40	10.10000038	1	0
riv_41	10.10000036	1	0
riv_42	10.10000038	1	0
riv_43	10.10000035	1	0
riv_44	10.10000038	1	0
riv_45	10.10000035	1	0
riv_46	10.10000033	1	0
riv_47	10.10000033	1	0
riv_48	10.10000037	1	0
riv_49	10.10000034	1	0
riv_50	10.10000039	1	0
riv_51	10.10000038	1	0
riv_52	10.10000033	1	0
riv_53	10.10000033	1	0
riv_54	10.10000041	1	0
riv_55	10.10000033	1	0
riv_56	10.10000032	1	0
riv_57	10.10000037	1	0
riv_58	10.10000041	1	0
ghb_59	0.10000005	1	0
ghb_60	0.10000014	1	0
ghb_61	0.10000011	1	0
ghb_62	0.10000011	1	0
ghb_63	0.10000006	1	0
ghb_64	0.10000013	1	0
ghb_65	0.1000001	1	0
ghb_66	0.10000005	1	0
ghb_67	0.10000011	1	0
ghb_68	0.10000006	1	0
sc1v1	1.188888997	1	0
sc1v2	1.188888957	1	0
sc1v3	0.988888972	1	0
sc1v4	1.088888987	1	0
sc1v5	0.638888972	1	0
sc1v6	0.888888977	1	0
sc1v7	0.838888967	1	0
sc1v8	1.338888977	1	0
sc1v9	1.538888967	1	0
sc2v1	0.497222292	1	0
sc2v2	0.397222322	1	0
sc2v3	0.697222322	1	0
sc2v4	0.347222302	1	0
sc2v5	0.547222327	1	0
sc2v6	0.522222317	1	0
sc2v7	0.797222312	1	0
sc2v8	0.772222312	1	0
sc2v9	0.772222297	1	0
sc3v1	0.070833424	1	0
sc3v2	0.110833442	1	0
sc3v3	0.068333422	1	0
sc3v4	0.068333422	1	0
sc3v5	0.088333442	1	0
sc3v6	0.065833439	1	0
sc3v7	0.088333419	1	0
sc3v8	0.105833434	1	0
sc3v9	0.093333437	1	0
sc4v1	0.012422224	1	0
sc4v2	0.008222224	1	0
sc4v3	0.014422225	1	0
sc4v4	0.007222225	1	0
sc4v5	0.010222224	1	0
sc4v6	0.007622225	1	0
sc4v7	0.007022224	1	0
sc4v8	0.011022225	1	0
sc4v9	0.008622224	1	0
sc5v1	0.703333358	1	0
sc5v2	0.673333352	1	0
sc5v3	0.723333358	1	0
sc5v4	0.753333355	1	0
sc5v5	0.513333357	1	0
sc5v6	0.453333357	1	0
sc5v7	0.623333354	1	0
sc5v8	0.633333355	1	0
sc5v9	0.74333335	1	0
sc6v1	3.12332E-05	1	0
sc6v2	3.25548E-05	1	0
sc6v3	1.53923E-05	1	0
sc6v4	1.47325E-05	1	0
sc6v5	2.46334E-05	1	0
sc6v6	2.3974E-05	1	0
sc6v7	1.53931E-05	1	0
sc6v8	1.14325E-05	1	0
sc6v9	1.14312E-05	1	0
sc6v10	2.46334E-05	1	0
sc6v11	2.39732E-05	1	0
sc6v12	2.39738E-05	1	0
sc7v1	7.46127E-06	1	0
sc7v2	4.9878E-06	1	0
sc7v3	3.00622E-06	1	0
sc7v4	8.28814E-06	1	0
sc7v5	1.8517E-06	1	0
sc7v6	1.68708E-06	1	0
sc7v7	3.33764E-06	1	0
sc7v8	2.8424E-06	1	0
sc7v9	3.17103E-06	1	0
sc7v10	1.85091E-06	1	0
sc7v11	1.68609E-06	1	0
sc7v12	1.68609E-06	1	0
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
