X	Y	bot	
250.0	4833.3333333333	1000.0	
750.0	4833.3333333333	1000.0	
1250.0	4833.3333333333	530.0	
1750.0	4833.3333333333	530.0	
2250.0	4833.3333333333	530.0	
2750.0	4833.3333333333	530.0	
3250.0	4833.3333333333	530.0	
3750.0	4833.3333333333	530.0	
4250.0	4833.3333333333	530.0	
4750.0	4833.3333333333	530.0	
250.0	4500.0	1000.0	
750.0	4500.0	900.0	
1250.0	4500.0	900.0	
1750.0	4500.0	530.0	
2250.0	4500.0	530.0	
2750.0	4500.0	950.0	
3250.0	4500.0	950.0	
3750.0	4500.0	950.0	
4250.0	4500.0	530.0	
4750.0	4500.0	530.0	
250.0	4166.6666666667	530.0	
750.0	4166.6666666667	850.0	
1250.0	4166.6666666667	670.0	
1750.0	4166.6666666667	680.0	
2250.0	4166.6666666667	680.0	
2750.0	4166.6666666667	770.0	
3250.0	4166.6666666667	770.0	
3750.0	4166.6666666667	890.0	
4250.0	4166.6666666667	530.0	
4750.0	4166.6666666667	530.0	
250.0	3833.3333333333	925.0	
750.0	3833.3333333333	850.0	
1250.0	3833.3333333333	650.0	
1750.0	3833.3333333333	650.0	
2250.0	3833.3333333333	650.0	
2750.0	3833.3333333333	680.0	
3250.0	3833.3333333333	740.0	
3750.0	3833.3333333333	850.0	
4250.0	3833.3333333333	950.0	
4750.0	3833.3333333333	530.0	
250.0	3500.0	925.0	
750.0	3500.0	800.0	
1250.0	3500.0	650.0	
1750.0	3500.0	600.0	
2250.0	3500.0	600.0	
2750.0	3500.0	600.0	
3250.0	3500.0	650.0	
3750.0	3500.0	720.0	
4250.0	3500.0	850.0	
4750.0	3500.0	950.0	
250.0	3166.6666666667	925.0	
750.0	3166.6666666667	800.0	
1250.0	3166.6666666667	650.0	
1750.0	3166.6666666667	600.0	
2250.0	3166.6666666667	550.0	
2750.0	3166.6666666667	600.0	
3250.0	3166.6666666667	650.0	
3750.0	3166.6666666667	720.0	
4250.0	3166.6666666667	850.0	
4750.0	3166.6666666667	970.0	
250.0	2833.3333333333	925.0	
750.0	2833.3333333333	800.0	
1250.0	2833.3333333333	650.0	
1750.0	2833.3333333333	600.0	
2250.0	2833.3333333333	550.0	
2750.0	2833.3333333333	600.0	
3250.0	2833.3333333333	650.0	
3750.0	2833.3333333333	720.0	
4250.0	2833.3333333333	950.0	
4750.0	2833.3333333333	530.0	
250.0	2500.0	530.0	
750.0	2500.0	850.0	
1250.0	2500.0	700.0	
1750.0	2500.0	650.0	
2250.0	2500.0	570.0	
2750.0	2500.0	600.0	
3250.0	2500.0	700.0	
3750.0	2500.0	850.0	
4250.0	2500.0	950.0	
4750.0	2500.0	530.0	
250.0	2166.6666666667	530.0	
750.0	2166.6666666667	850.0	
1250.0	2166.6666666667	700.0	
1750.0	2166.6666666667	650.0	
2250.0	2166.6666666667	540.0	
2750.0	2166.6666666667	580.0	
3250.0	2166.6666666667	700.0	
3750.0	2166.6666666667	850.0	
4250.0	2166.6666666667	950.0	
4750.0	2166.6666666667	530.0	
250.0	1833.3333333333	530.0	
750.0	1833.3333333333	850.0	
1250.0	1833.3333333333	700.0	
1750.0	1833.3333333333	630.0	
2250.0	1833.3333333333	530.0	
2750.0	1833.3333333333	580.0	
3250.0	1833.3333333333	650.0	
3750.0	1833.3333333333	800.0	
4250.0	1833.3333333333	900.0	
4750.0	1833.3333333333	950.0	
250.0	1500.0	530.0	
750.0	1500.0	850.0	
1250.0	1500.0	700.0	
1750.0	1500.0	620.0	
2250.0	1500.0	580.0	
2750.0	1500.0	620.0	
3250.0	1500.0	700.0	
3750.0	1500.0	800.0	
4250.0	1500.0	900.0	
4750.0	1500.0	530.0	
250.0	1166.6666666667	900.0	
750.0	1166.6666666667	830.0	
1250.0	1166.6666666667	710.0	
1750.0	1166.6666666667	640.0	
2250.0	1166.6666666667	600.0	
2750.0	1166.6666666667	650.0	
3250.0	1166.6666666667	700.0	
3750.0	1166.6666666667	800.0	
4250.0	1166.6666666667	900.0	
4750.0	1166.6666666667	530.0	
250.0	833.33333333333	900.0	
750.0	833.33333333333	810.0	
1250.0	833.33333333333	750.0	
1750.0	833.33333333333	700.0	
2250.0	833.33333333333	650.0	
2750.0	833.33333333333	700.0	
3250.0	833.33333333333	750.0	
3750.0	833.33333333333	800.0	
4250.0	833.33333333333	900.0	
4750.0	833.33333333333	530.0	
250.0	500.0	530.0	
750.0	500.0	950.0	
1250.0	500.0	850.0	
1750.0	500.0	850.0	
2250.0	500.0	850.0	
2750.0	500.0	850.0	
3250.0	500.0	850.0	
3750.0	500.0	850.0	
4250.0	500.0	850.0	
4750.0	500.0	530.0	
250.0	166.66666666667	530.0	
750.0	166.66666666667	530.0	
1250.0	166.66666666667	950.0	
1750.0	166.66666666667	950.0	
2250.0	166.66666666667	950.0	
2750.0	166.66666666667	950.0	
3250.0	166.66666666667	530.0	
3750.0	166.66666666667	530.0	
4250.0	166.66666666667	530.0	
4750.0	166.66666666667	530.0	
